date,daily_cost,cost_usd,fx_rate,service_breakdown,day_of_week,is_anomaly,anomaly_type
2025-01-01,1723.34,93.16,18.4987,"{'EC2': 1032.28, 'S3': 400.04, 'Lambda': 150.37, 'Other': 140.65}",2,False,
2025-01-02,1980.72,107.47,18.4304,"{'EC2': 1184.97, 'S3': 362.02, 'Lambda': 249.42, 'Other': 184.31}",3,False,
2025-01-03,1855.08,100.27,18.5008,"{'EC2': 1051.22, 'S3': 371.18, 'Lambda': 251.23, 'Other': 181.45}",4,False,
2025-01-04,1443.46,77.76,18.563,"{'EC2': 888.16, 'S3': 327.46, 'Lambda': 123.21, 'Other': 104.63}",5,False,
2025-01-05,1339.52,72.14,18.5683,"{'EC2': 807.58, 'S3': 311.38, 'Lambda': 82.42, 'Other': 138.14}",6,False,
2025-01-06,1834.31,98.31,18.6584,"{'EC2': 1005.61, 'S3': 392.04, 'Lambda': 197.9, 'Other': 238.76}",0,False,
2025-01-07,1871.83,100.12,18.6959,"{'EC2': 1100.55, 'S3': 367.31, 'Lambda': 203.86, 'Other': 200.11}",1,False,
2025-01-08,1780.19,95.57,18.6271,"{'EC2': 940.03, 'S3': 322.61, 'Lambda': 273.76, 'Other': 243.79}",2,False,
2025-01-09,1807.45,96.88,18.6566,"{'EC2': 1138.06, 'S3': 300.39, 'Lambda': 158.34, 'Other': 210.66}",3,False,
2025-01-10,1996.6,107.46,18.5799,"{'EC2': 1298.11, 'S3': 405.01, 'Lambda': 79.89, 'Other': 213.59}",4,False,
2025-01-11,1344.31,72.08,18.6502,"{'EC2': 870.31, 'S3': 258.8, 'Lambda': 144.78, 'Other': 70.42}",5,False,
2025-01-12,1317.35,70.65,18.6462,"{'EC2': 834.93, 'S3': 202.96, 'Lambda': 84.38, 'Other': 195.08}",6,False,
2025-01-13,2172.23,116.59,18.6314,"{'EC2': 1207.77, 'S3': 404.02, 'Lambda': 235.73, 'Other': 324.71}",0,False,
2025-01-14,1800.47,96.92,18.5769,"{'EC2': 1048.45, 'S3': 395.08, 'Lambda': 199.99, 'Other': 156.95}",1,False,
2025-01-15,1893.99,101.42,18.6747,"{'EC2': 1113.29, 'S3': 384.25, 'Lambda': 183.32, 'Other': 213.13}",2,False,
2025-01-16,1855.23,99.41,18.6624,"{'EC2': 1075.15, 'S3': 403.32, 'Lambda': 183.23, 'Other': 193.53}",3,False,
2025-01-17,9060.71,486.4,18.6281,"{'EC2': 5001.59, 'S3': 1811.71, 'Lambda': 839.56, 'Other': 1407.85}",4,True,spike
2025-01-18,1543.05,82.96,18.5999,"{'EC2': 952.22, 'S3': 275.76, 'Lambda': 103.74, 'Other': 211.33}",5,False,
2025-01-19,1454.86,78.04,18.6425,"{'EC2': 890.73, 'S3': 214.07, 'Lambda': 185.31, 'Other': 164.75}",6,False,
2025-01-20,1813.77,97.14,18.6717,"{'EC2': 1077.06, 'S3': 382.24, 'Lambda': 186.74, 'Other': 167.73}",0,False,
2025-01-21,1916.68,102.47,18.7048,"{'EC2': 1177.73, 'S3': 406.68, 'Lambda': 286.55, 'Other': 45.72}",1,False,
2025-01-22,1910.09,101.93,18.7392,"{'EC2': 1216.61, 'S3': 419.84, 'Lambda': 178.57, 'Other': 95.07}",2,False,
2025-01-23,1985.42,104.99,18.9106,"{'EC2': 1266.45, 'S3': 299.18, 'Lambda': 244.64, 'Other': 175.15}",3,False,
2025-01-24,1946.89,103.13,18.878,"{'EC2': 1090.43, 'S3': 364.43, 'Lambda': 266.66, 'Other': 225.37}",4,False,
2025-01-25,1590.42,84.43,18.8371,"{'EC2': 907.04, 'S3': 304.34, 'Lambda': 217.46, 'Other': 161.58}",5,False,
2025-01-26,1521.1,81.03,18.772,"{'EC2': 897.45, 'S3': 306.69, 'Lambda': 120.06, 'Other': 196.9}",6,False,
2025-01-27,1840.34,97.78,18.8212,"{'EC2': 1066.94, 'S3': 332.47, 'Lambda': 231.26, 'Other': 209.67}",0,False,
2025-01-28,2146.84,113.52,18.9116,"{'EC2': 1424.04, 'S3': 349.96, 'Lambda': 224.37, 'Other': 148.47}",1,False,
2025-01-29,1918.59,101.5,18.9024,"{'EC2': 1222.15, 'S3': 414.98, 'Lambda': 149.67, 'Other': 131.79}",2,False,
2025-01-30,1968.66,104.52,18.8352,"{'EC2': 1123.52, 'S3': 358.62, 'Lambda': 218.04, 'Other': 268.48}",3,False,
2025-01-31,2021.08,107.68,18.7693,"{'EC2': 1124.35, 'S3': 442.6, 'Lambda': 216.21, 'Other': 237.92}",4,False,
2025-02-01,1596.61,84.83,18.8213,"{'EC2': 964.62, 'S3': 326.74, 'Lambda': 211.04, 'Other': 94.21}",5,False,
2025-02-02,1593.54,84.4,18.8808,"{'EC2': 932.93, 'S3': 344.13, 'Lambda': 126.53, 'Other': 189.95}",6,False,
2025-02-03,2092.26,110.56,18.9242,"{'EC2': 1274.78, 'S3': 434.8, 'Lambda': 227.05, 'Other': 155.63}",0,False,
2025-02-04,1968.62,104.32,18.871,"{'EC2': 1166.14, 'S3': 414.23, 'Lambda': 254.6, 'Other': 133.65}",1,False,
2025-02-05,1975.66,104.59,18.8896,"{'EC2': 1268.71, 'S3': 349.82, 'Lambda': 148.31, 'Other': 208.82}",2,False,
2025-02-06,2076.04,109.85,18.8989,"{'EC2': 1142.2, 'S3': 456.37, 'Lambda': 239.16, 'Other': 238.31}",3,False,
2025-02-07,2051.86,108.47,18.9164,"{'EC2': 1306.84, 'S3': 378.19, 'Lambda': 77.83, 'Other': 289.0}",4,False,
2025-02-08,1470.66,77.46,18.9861,"{'EC2': 927.11, 'S3': 367.76, 'Lambda': 79.81, 'Other': 95.98}",5,False,
2025-02-09,1387.86,73.03,19.004,"{'EC2': 789.09, 'S3': 291.97, 'Lambda': 158.49, 'Other': 148.31}",6,False,
2025-02-10,1877.43,98.51,19.0583,"{'EC2': 1069.09, 'S3': 406.19, 'Lambda': 172.94, 'Other': 229.21}",0,False,
2025-02-11,2094.72,109.88,19.0637,"{'EC2': 1205.57, 'S3': 444.6, 'Lambda': 213.27, 'Other': 231.28}",1,False,
2025-02-12,1957.35,102.55,19.0868,"{'EC2': 1148.57, 'S3': 397.73, 'Lambda': 240.71, 'Other': 170.34}",2,False,
2025-02-13,2090.18,109.22,19.1373,"{'EC2': 1297.66, 'S3': 430.65, 'Lambda': 273.74, 'Other': 88.13}",3,False,
2025-02-14,1896.18,99.69,19.0208,"{'EC2': 1186.71, 'S3': 277.68, 'Lambda': 170.15, 'Other': 261.64}",4,False,
2025-02-15,1499.1,78.92,18.9952,"{'EC2': 843.91, 'S3': 324.06, 'Lambda': 194.75, 'Other': 136.38}",5,False,
2025-02-16,1622.77,85.6,18.9576,"{'EC2': 1068.55, 'S3': 310.02, 'Lambda': 145.66, 'Other': 98.54}",6,False,
2025-02-17,1934.13,102.3,18.9065,"{'EC2': 1113.51, 'S3': 423.49, 'Lambda': 286.52, 'Other': 110.61}",0,False,
2025-02-18,2064.25,109.31,18.8844,"{'EC2': 1270.46, 'S3': 478.54, 'Lambda': 214.58, 'Other': 100.67}",1,False,
2025-02-19,2134.72,112.33,19.004,"{'EC2': 1358.79, 'S3': 429.65, 'Lambda': 158.58, 'Other': 187.7}",2,False,
2025-02-20,2079.04,109.8,18.9348,"{'EC2': 1171.58, 'S3': 413.69, 'Lambda': 218.53, 'Other': 275.24}",3,False,
2025-02-21,2011.49,105.8,19.0122,"{'EC2': 1105.39, 'S3': 461.53, 'Lambda': 179.14, 'Other': 265.43}",4,False,
